iter	Passed	Remaining
870	59809	8858
871	59882	8790
872	59961	8722
873	60028	8654
874	60098	8585
875	60168	8516
876	60232	8447
877	60301	8379
878	60375	8311
879	60451	8243
880	60526	8175
881	60585	8105
882	60662	8037
883	60740	7970
884	60816	7902
885	60843	7828
886	60928	7762
887	61009	7694
888	61087	7627
889	61161	7559
890	61238	7491
891	61329	7425
892	61420	7359
893	61502	7292
894	61591	7225
895	61671	7158
896	61746	7090
897	61814	7021
898	61890	6953
899	61962	6884
900	62035	6816
901	62102	6747
902	62171	6678
903	62239	6609
904	62304	6540
905	62379	6472
906	62450	6403
907	62520	6334
908	62589	6265
909	62667	6197
910	62701	6125
911	62801	6059
912	62828	5986
913	62898	5918
914	62971	5849
915	63042	5781
916	63105	5711
917	63178	5643
918	63241	5574
919	63320	5506
920	63414	5439
921	63485	5370
922	63565	5302
923	63637	5234
924	63706	5165
925	63774	5096
926	63847	5027
927	63921	4959
928	63997	4891
929	64062	4821
930	64120	4752
931	64170	4681
932	64235	4612
933	64307	4544
934	64374	4475
935	64453	4407
936	64525	4338
937	64605	4270
938	64629	4198
939	64713	4130
940	64789	4062
941	64864	3993
942	64928	3924
943	64992	3855
944	65054	3786
945	65126	3717
946	65151	3646
947	65218	3577
948	65292	3508
949	65365	3440
950	65442	3371
951	65518	3303
952	65592	3234
953	65665	3166
954	65740	3097
955	65813	3029
956	65884	2960
957	65953	2891
958	66024	2822
959	66103	2754
960	66182	2685
961	66252	2617
962	66332	2548
963	66405	2479
964	66481	2411
965	66549	2342
966	66584	2272
967	66659	2203
968	66725	2134
969	66796	2065
970	66860	1996
971	66885	1926
972	66958	1858
973	67035	1789
974	67107	1720
975	67182	1652
976	67254	1583
977	67324	1514
978	67391	1445
979	67466	1376
980	67533	1307
981	67601	1239
982	67673	1170
983	67737	1101
984	67860	1033
985	67930	964
986	67999	895
987	68065	826
988	68138	757
989	68209	688
990	68248	619
991	68301	550
992	68381	482
993	68461	413
994	68531	344
995	68603	275
996	68677	206
997	68752	137
998	68824	68
999	68890	0
